timestamp,open,high,low,close,volume
2021-05-31 13:10:00,36721.6,36887.92,36718.19,36834.5,349.653102
2021-05-31 13:15:00,36833.44,36985.5,36832.29,36941.8,388.426742
2021-05-31 13:20:00,36944.99,37062.57,36910.62,37020.06,381.470844
2021-05-31 13:25:00,37017.16,37020.12,36897.91,36981.31,300.333592
2021-05-31 13:30:00,36981.31,37034.99,36855.44,36887.62,265.008938
2021-05-31 13:35:00,36886.32,36949.8,36776.99,36909.28,283.041776
2021-05-31 13:40:00,36909.29,36912.99,36510.66,36651.1,633.185739
2021-05-31 13:45:00,36646.0,36646.0,36523.96,36568.4,523.995922
2021-05-31 13:50:00,36568.4,36988.0,36567.1,36932.06,831.138057
2021-05-31 13:55:00,36930.21,36940.67,36706.71,36721.28,356.677029
2021-05-31 14:00:00,36721.29,36853.94,36550.0,36550.01,512.320141
2021-05-31 14:05:00,36550.01,36637.12,36413.4,36435.59,532.058537
2021-05-31 14:10:00,36439.82,36550.78,36401.0,36415.51,650.888619
2021-05-31 14:15:00,36415.51,36574.61,36402.98,36500.0,339.136321
2021-05-31 14:20:00,36499.99,36548.99,36333.44,36344.39,456.727731
2021-05-31 14:25:00,36344.39,36472.61,36336.16,36431.26,277.319609
2021-05-31 14:30:00,36433.38,36550.0,36431.35,36457.39,314.883156
2021-05-31 14:35:00,36457.38,36571.42,36430.0,36534.63,222.122241
2021-05-31 14:40:00,36534.6,36561.61,36474.68,36474.69,200.060558
2021-05-31 14:45:00,36474.68,36652.53,36465.79,36640.35,233.919682
2021-05-31 14:50:00,36640.35,36765.2,36599.07,36660.94,348.897284
2021-05-31 14:55:00,36660.94,36660.94,36534.91,36620.39,244.971904
2021-05-31 15:00:00,36620.39,36842.95,36580.01,36829.98,356.997063
2021-05-31 15:05:00,36829.98,36835.96,36714.22,36746.02,292.584246
2021-05-31 15:10:00,36746.02,36834.25,36739.22,36825.34,189.561398
2021-05-31 15:15:00,36825.35,36997.92,36788.12,36997.91,457.483673
2021-05-31 15:20:00,36997.9,37149.99,36974.33,37047.96,621.608596
2021-05-31 15:25:00,37046.07,37092.29,36923.37,36959.88,331.342959
2021-05-31 15:30:00,36959.89,37023.07,36873.09,36993.63,255.187755
2021-05-31 15:35:00,36993.64,37120.62,36940.03,36961.85,447.787359
2021-05-31 15:40:00,36960.02,37012.74,36831.99,36927.59,283.872519
2021-05-31 15:45:00,36925.74,37000.0,36894.87,36922.91,288.119041
2021-05-31 15:50:00,36924.75,36936.59,36731.06,36844.06,348.717885
2021-05-31 15:55:00,36844.05,36990.0,36841.56,36961.16,294.561761
2021-05-31 16:00:00,36961.16,37049.27,36843.24,36993.2,367.910832
2021-05-31 16:05:00,36992.13,37080.0,36910.62,36983.03,455.273195
2021-05-31 16:10:00,36983.02,37150.0,36971.8,37121.0,585.118144
2021-05-31 16:15:00,37120.99,37449.0,37120.99,37417.97,1254.104583
