i,timestamp,Action,Start,End,Benef,Duration
3749,2021-07-04 06:09:00,BUY,35146.91,35464.055563816364,317.14556381636066,65
3838,2021-07-04 07:38:00,BUY,35465.76,35724.36206390413,258.6020639041308,15
3956,2021-07-04 09:36:00,SELL,35410.01,35458.35243449786,-48.34243449785572,7
4144,2021-07-04 12:44:00,SELL,35435.77,35345.10082208966,90.66917791033484,9
4149,2021-07-04 12:49:00,SELL,35437.68,35356.18695907155,81.49304092844977,4
4165,2021-07-04 13:05:00,SELL,35303.63,35449.718794565975,-146.08879456597788,61
4176,2021-07-04 13:16:00,SELL,35327.01,35422.24795048318,-95.23795048317697,4
4770,2021-07-04 23:10:00,SELL,35334.1,35005.69125149242,328.40874850757973,49
4776,2021-07-04 23:16:00,SELL,35420.01,35250.79243699689,169.21756300311245,42
4844,2021-07-05 00:24:00,SELL,34999.99,34625.51932414569,374.4706758543107,61
4847,2021-07-05 00:27:00,SELL,34930.01,34473.4783629437,456.5316370563014,75
4851,2021-07-05 00:31:00,SELL,34998.29,34674.756667498004,323.5333325019965,50
4855,2021-07-05 00:35:00,SELL,35000.0,34704.20339202127,295.7966079787293,46
4875,2021-07-05 00:55:00,SELL,34889.53,34582.31095972943,307.21904027056735,30
4878,2021-07-05 00:58:00,SELL,34877.26,34571.01530250821,306.24469749179116,31
4882,2021-07-05 01:02:00,SELL,34896.9,34642.81626268673,254.08373731327447,19
4893,2021-07-05 01:13:00,SELL,34904.09,34711.426730477004,192.66326952299278,8
4917,2021-07-05 01:37:00,SELL,34643.58,34243.677060533024,399.90293946697784,132
4922,2021-07-05 01:42:00,SELL,34497.01,33913.79182904039,583.2181709596116,580
4930,2021-07-05 01:50:00,SELL,34614.55,34277.22667432094,337.3233256790627,71
4937,2021-07-05 01:57:00,SELL,34558.05,34181.87190731085,376.1780926891515,112
4944,2021-07-05 02:04:00,SELL,34628.01,34399.03262970392,228.97737029608106,13
4947,2021-07-05 02:07:00,SELL,34573.17,34276.01047310357,297.1595268964302,54
4956,2021-07-05 02:16:00,SELL,34415.08,33930.83653125183,484.24346874817275,546
4971,2021-07-05 02:31:00,SELL,34482.04,34218.15691585356,263.88308414644416,78
4979,2021-07-05 02:39:00,SELL,34490.7,34276.92790939796,213.7720906020404,22
4982,2021-07-05 02:42:00,SELL,34480.52,34262.7555988987,217.76440110129624,67
4990,2021-07-05 02:50:00,SELL,34360.2,34002.23920057941,357.96079942058714,94
5000,2021-07-05 03:00:00,SELL,34346.54,34025.03048963569,321.5095103643107,77
5045,2021-07-05 03:45:00,SELL,34336.66,34129.661683454964,206.99831654503942,23
5085,2021-07-05 04:25:00,SELL,34179.84,34346.75301101925,-166.91301101925637,7
5143,2021-07-05 05:23:00,SELL,34142.99,34275.92861395996,-132.93861395995918,24
5222,2021-07-05 06:42:00,BUY,34336.69,34281.77031107669,-54.919688923313515,2
5328,2021-07-05 08:28:00,SELL,34182.4,34133.2613725785,49.13862742150377,1
5434,2021-07-05 10:14:00,BUY,34355.48,34422.582631265264,67.10263126526115,7
5542,2021-07-05 12:02:00,SELL,33519.99,33930.67655616733,-410.68655616733304,356
5545,2021-07-05 12:05:00,SELL,33529.8,33905.745955126324,-375.94595512632077,353
5551,2021-07-05 12:11:00,SELL,33514.01,33860.74516878115,-346.73516878114606,347
5555,2021-07-05 12:15:00,SELL,33568.03,33167.46521127545,400.56478872455045,326
5562,2021-07-05 12:22:00,SELL,33513.01,33796.46687394727,-283.456873947267,336
5574,2021-07-05 12:34:00,SELL,33514.59,33736.27449158466,-221.68449158466683,70
5578,2021-07-05 12:38:00,SELL,33520.93,33719.940629781544,-199.01062978154368,65
5584,2021-07-05 12:44:00,SELL,33458.69,33697.33674061711,-238.64674061710684,59
5596,2021-07-05 12:56:00,SELL,33473.32,33655.69390507616,-182.37390507615783,14
5600,2021-07-05 13:00:00,SELL,33510.0,33641.49995729237,-131.4999572923698,8
5868,2021-07-05 17:28:00,SELL,33590.94,33511.139517777934,79.80048222206824,4
6073,2021-07-05 20:53:00,SELL,33850.0,33958.755995051855,-108.75599505185528,6
6076,2021-07-05 20:56:00,SELL,33833.86,33951.503388468824,-117.6433884688231,3
6262,2021-07-06 00:02:00,SELL,33734.84,33956.01973108881,-221.17973108881415,4
6343,2021-07-06 01:23:00,SELL,33912.19,33803.61861319769,108.57138680231583,31
6481,2021-07-06 03:41:00,BUY,33941.69,33887.31943272226,-54.37056727774325,3
6558,2021-07-06 04:58:00,BUY,34666.38,35112.69456138801,446.3145613880115,238
6773,2021-07-06 08:33:00,BUY,34838.74,34911.98288856194,73.24288856194471,22
6848,2021-07-06 09:48:00,SELL,34255.0,33868.804879303956,386.1951206960439,19
6857,2021-07-06 09:57:00,SELL,34204.56,33811.08697636628,393.47302363372,10
6880,2021-07-06 10:20:00,SELL,33967.24,34298.680117490396,-331.4401174903978,146
6893,2021-07-06 10:33:00,SELL,33947.54,34218.47519500717,-270.9351950071723,71
6904,2021-07-06 10:44:00,SELL,33905.71,34155.14658588454,-249.43658588454127,60
6907,2021-07-06 10:47:00,SELL,33825.99,34139.01019371735,-313.02019371735514,57
6916,2021-07-06 10:56:00,SELL,33888.92,34094.27799130946,-205.35799130945816,47
6925,2021-07-06 11:05:00,SELL,33865.24,34057.761081970784,-192.52108197078633,38
6941,2021-07-06 11:21:00,SELL,33797.15,34010.17831123043,-213.02831123043143,22
7111,2021-07-06 14:11:00,SELL,34129.44,34059.907425526755,69.53257447324722,2
7116,2021-07-06 14:16:00,SELL,34042.68,34169.61734562517,-126.93734562517056,19
7125,2021-07-06 14:25:00,SELL,34064.99,34145.418885731095,-80.42888573109667,4
7183,2021-07-06 15:23:00,SELL,34001.11,34079.37132232387,-78.2613223238659,3
7235,2021-07-06 16:15:00,SELL,33954.43,33805.96157691977,148.46842308023042,14
7243,2021-07-06 16:23:00,SELL,33964.68,33857.19283913417,107.48716086582863,5
7248,2021-07-06 16:28:00,SELL,33903.27,34028.55175320169,-125.28175320169248,29
7254,2021-07-06 16:34:00,SELL,33895.75,34013.52534852197,-117.77534852197277,23
7258,2021-07-06 16:38:00,SELL,33851.57,34005.838951253,-154.2689512529978,19
7266,2021-07-06 16:46:00,SELL,33882.41,33985.39536340607,-102.9853634060637,11
7271,2021-07-06 16:51:00,SELL,33846.84,33976.25147452297,-129.41147452297446,6
7405,2021-07-06 19:05:00,SELL,33840.38,33914.82755583363,-74.4475558336344,4
7525,2021-07-06 21:05:00,SELL,33878.82,33932.37255916558,-53.55255916558235,2
7578,2021-07-06 21:58:00,SELL,33784.45,33879.21742091992,-94.76742091992492,3
7840,2021-07-07 02:20:00,SELL,34000.0,34141.579728637254,-141.57972863725445,21
7930,2021-07-07 03:50:00,BUY,34388.86,34565.28800654973,176.42800654972962,30
7944,2021-07-07 04:04:00,BUY,34451.73,34665.98411358607,214.25411358606652,37
8262,2021-07-07 09:22:00,SELL,34729.34,34767.78862373719,-38.44862373719661,8
8315,2021-07-07 10:15:00,SELL,34560.02,34713.93017942999,-153.91017942999315,19
8323,2021-07-07 10:23:00,SELL,34622.32,34698.52819786163,-76.20819786163338,9
8421,2021-07-07 12:01:00,BUY,34884.97,35037.528270187635,152.55827018763375,37
8503,2021-07-07 13:23:00,SELL,34697.47,34806.096131850754,-108.62613185075315,32
8511,2021-07-07 13:31:00,SELL,34736.64,34792.96247402921,-56.32247402921348,24
8524,2021-07-07 13:44:00,SELL,34728.28,34778.89637598235,-50.61637598235393,10
8592,2021-07-07 14:52:00,SELL,34586.28,34730.76443972076,-144.48443972076348,190
8614,2021-07-07 15:14:00,SELL,34602.0,34456.87560770241,145.12439229759184,54
8621,2021-07-07 15:21:00,SELL,34606.1,34484.46430661263,121.63569338736852,9
8635,2021-07-07 15:35:00,SELL,34573.37,34444.99208000247,128.37791999753244,33
8674,2021-07-07 16:14:00,SELL,34531.99,34593.16446696865,-61.17446696865227,6
8874,2021-07-07 19:34:00,SELL,34590.01,34648.26607486747,-58.25607486746594,7
8878,2021-07-07 19:38:00,SELL,34616.6,34644.94632454324,-28.3463245432431,3
8903,2021-07-07 20:03:00,SELL,34577.15,34483.84819446494,93.30180553506216,72
8913,2021-07-07 20:13:00,SELL,34574.11,34497.09156931627,77.01843068373273,17
8920,2021-07-07 20:20:00,SELL,34569.99,34494.34319471652,75.64680528347526,10
8968,2021-07-07 21:08:00,SELL,34509.98,34423.55325857441,86.42674142559554,11
8979,2021-07-07 21:19:00,SELL,34284.99,33881.56442258501,403.42557741498604,106
9007,2021-07-07 21:47:00,SELL,34228.01,33927.23760093252,300.77239906747855,77
9014,2021-07-07 21:54:00,SELL,34252.18,34022.67580253727,229.5041974627311,68
9023,2021-07-07 22:03:00,SELL,34221.99,33991.14564668754,230.84435331245913,61
9060,2021-07-07 22:40:00,SELL,34191.63,34048.84276065721,142.7872393427897,21
9079,2021-07-07 22:59:00,SELL,34099.58,33879.49772928729,220.08227071270812,6
9104,2021-07-07 23:24:00,SELL,34005.86,33782.67654613032,223.1834538696785,29
9126,2021-07-07 23:46:00,SELL,33930.0,33717.27682083138,212.72317916862085,12
9129,2021-07-07 23:49:00,SELL,33912.6,33685.932874427825,226.66712557217397,24
9148,2021-07-08 00:08:00,SELL,33783.99,33470.13967316518,313.8503268348213,12
9187,2021-07-08 00:47:00,SELL,33330.0,32817.661729362626,512.3382706373741,408
9190,2021-07-08 00:50:00,SELL,33266.74,32690.844726433177,575.8952735668208,408
9196,2021-07-08 00:56:00,SELL,33249.24,32711.824706339565,537.4152936604332,402
9258,2021-07-08 01:58:00,SELL,33284.99,33084.69127179883,200.29872820116725,72
9393,2021-07-08 04:13:00,SELL,33261.8,33201.80574866457,59.99425133543264,4
9404,2021-07-08 04:24:00,SELL,33239.99,33287.72893248769,-47.73893248769309,20
9408,2021-07-08 04:28:00,SELL,33195.82,33283.43896560616,-87.61896560616151,16
9480,2021-07-08 05:40:00,SELL,33180.7,33067.56281781205,113.13718218794384,17
9486,2021-07-08 05:46:00,SELL,33165.18,33042.94065028106,122.2393497189405,11
9568,2021-07-08 07:08:00,SELL,33168.65,33217.333281258696,-48.68328125869448,2
9622,2021-07-08 08:02:00,SELL,32404.37,32904.11716695763,-499.7471669576298,267
9636,2021-07-08 08:16:00,SELL,32459.31,32776.26288332631,-316.9528833263066,253
9642,2021-07-08 08:22:00,SELL,32454.94,32741.325544298146,-286.3855442981476,135
9653,2021-07-08 08:33:00,SELL,32357.67,32681.309039594522,-323.63903959452364,29
9662,2021-07-08 08:42:00,SELL,32439.59,32633.224086888615,-193.63408688861455,16
9665,2021-07-08 08:45:00,SELL,32402.1,32620.12958423212,-218.02958423212112,13
10083,2021-07-08 15:43:00,BUY,32834.19,32734.552171183972,-99.63782881603038,54
10250,2021-07-08 18:30:00,SELL,32812.34,32847.57202616329,-35.232026163292176,4
10331,2021-07-08 19:51:00,BUY,32931.96,33053.507343952966,121.54734395296691,2
10394,2021-07-08 20:54:00,SELL,32810.0,32891.32368443665,-81.32368443664745,10
10462,2021-07-08 22:02:00,SELL,32689.65,32853.91538956096,-164.26538956096192,81
10482,2021-07-08 22:22:00,SELL,32618.4,32780.81499228865,-162.41499228864996,57
10491,2021-07-08 22:31:00,SELL,32519.89,32754.876598292456,-234.98659829245662,48
10497,2021-07-08 22:37:00,SELL,32524.34,32733.799382488527,-209.4593824885269,41
10506,2021-07-08 22:46:00,SELL,32605.65,32707.950384456184,-102.30038445618266,25
10613,2021-07-09 00:33:00,SELL,32657.94,32528.66621327425,129.27378672574923,6
10643,2021-07-09 01:03:00,SELL,32462.52,32620.479148713242,-157.95914871324203,26
10656,2021-07-09 01:16:00,SELL,32394.64,32563.286107277552,-168.6461072775528,9
10911,2021-07-09 05:31:00,BUY,33136.9,33049.39890123869,-87.50109876131319,7
10965,2021-07-09 06:25:00,SELL,32910.23,32750.138749603237,160.09125039676655,10
11016,2021-07-09 07:16:00,SELL,32806.84,32916.204522092754,-109.3645220927574,26
11179,2021-07-09 09:59:00,BUY,32946.45,32886.38200728033,-60.06799271966884,8
11232,2021-07-09 10:52:00,SELL,32873.79,32840.2299898201,33.56001017989911,1
11256,2021-07-09 11:16:00,SELL,32780.01,32648.731719441304,131.2782805586976,58
11263,2021-07-09 11:23:00,SELL,32727.74,32856.615105701785,-128.87510570178347,75
11314,2021-07-09 12:14:00,SELL,32648.23,32782.22281564644,-133.99281564644116,14
11321,2021-07-09 12:21:00,SELL,32676.68,32768.300216788506,-91.62021678850579,3
11465,2021-07-09 14:45:00,BUY,33522.37,33333.00718321314,-189.36281678685918,255
11641,2021-07-09 17:41:00,SELL,33440.0,33511.88952328826,-71.8895232882569,8
11666,2021-07-09 18:06:00,SELL,33453.18,33391.1724068199,62.00759318010387,5
11681,2021-07-09 18:21:00,SELL,33427.37,33355.14148582562,72.22851417438505,26
11712,2021-07-09 18:52:00,SELL,33373.83,33447.19789670504,-73.3678967050364,24
11719,2021-07-09 18:59:00,SELL,33366.59,33438.32989529049,-71.7398952904914,17
11952,2021-07-09 22:52:00,BUY,33939.78,33832.04195229617,-107.7380477038314,64
12122,2021-07-10 01:42:00,SELL,33907.87,33804.68765634857,103.18234365143144,5
12126,2021-07-10 01:46:00,SELL,33836.75,33634.616538885704,202.13346111429564,62
12147,2021-07-10 02:07:00,SELL,33775.89,33575.04073127057,200.84926872942742,171
12163,2021-07-10 02:23:00,SELL,33798.05,33665.204637199946,132.84536280005705,25
12167,2021-07-10 02:27:00,SELL,33785.43,33644.549237493105,140.88076250689483,21
12176,2021-07-10 02:36:00,SELL,33774.09,33643.86575810901,130.2242418909882,12
12195,2021-07-10 02:55:00,SELL,33708.72,33820.86388306054,-112.14388306054025,8
12271,2021-07-10 04:11:00,SELL,33777.0,33798.09573176533,-21.09573176533013,1
12343,2021-07-10 05:23:00,SELL,33622.53,33722.82496660203,-100.29496660202858,22
12599,2021-07-10 09:39:00,BUY,33863.97,33801.28254555492,-62.68745444508386,7
12660,2021-07-10 10:40:00,SELL,33664.8,33738.21397147463,-73.41397147462703,5
12758,2021-07-10 12:18:00,BUY,33900.63,33766.66687299517,-133.96312700482667,73
12790,2021-07-10 12:50:00,BUY,33852.63,33798.273098387246,-54.356901612751244,16
12850,2021-07-10 13:50:00,SELL,33689.18,33786.877577249965,-97.69757724996452,44
12882,2021-07-10 14:22:00,SELL,33681.85,33749.27483394042,-67.4248339404221,6
12960,2021-07-10 15:40:00,BUY,33866.4,33810.43743943316,-55.96256056684069,24
13088,2021-07-10 17:48:00,SELL,33386.06,33686.40928870183,-300.3492887018292,307
13094,2021-07-10 17:54:00,SELL,33430.63,33095.06321634867,335.56678365132393,135
13104,2021-07-10 18:04:00,SELL,33428.27,33155.20026245626,273.0697375437376,124
13112,2021-07-10 18:12:00,SELL,33400.39,33129.949808859536,270.44019114046387,116
13119,2021-07-10 18:19:00,SELL,33433.08,33558.761261701155,-125.68126170115283,44
13123,2021-07-10 18:23:00,SELL,33401.01,33548.22229169489,-147.21229169488652,40
13129,2021-07-10 18:29:00,SELL,33407.99,33532.868319324276,-124.87831932427798,33
13146,2021-07-10 18:46:00,SELL,33429.7,33502.26140685777,-72.56140685777063,16
13198,2021-07-10 19:38:00,SELL,33395.43,33271.939093777226,123.49090622277436,29
13206,2021-07-10 19:46:00,SELL,33415.9,33336.99623093371,78.90376906628808,19
13320,2021-07-10 21:40:00,BUY,33364.32,33348.93508945717,-15.384910542830767,1
13610,2021-07-11 02:30:00,SELL,33590.7,33631.83991453353,-41.13991453353083,11
13659,2021-07-11 03:19:00,SELL,33519.96,33426.37070505613,93.58929494387121,25
13664,2021-07-11 03:24:00,SELL,33527.6,33453.81509799344,73.78490200655506,3
13671,2021-07-11 03:31:00,SELL,33506.46,33415.04662987555,91.41337012445001,24
13689,2021-07-11 03:49:00,SELL,33451.24,33320.758632621066,130.4813673789322,37
13700,2021-07-11 04:00:00,SELL,33412.77,33520.21983216456,-107.44983216456603,49
13718,2021-07-11 04:18:00,SELL,33386.24,33479.27106924261,-93.03106924261374,30
13726,2021-07-11 04:26:00,SELL,33312.83,33462.67277878702,-149.84277878701687,22
13876,2021-07-11 06:56:00,SELL,33457.79,33520.04892147694,-62.25892147693958,7
13879,2021-07-11 06:59:00,SELL,33441.33,33516.24053588238,-74.91053588237992,4
14657,2021-07-11 19:57:00,SELL,33894.57,33918.892172242515,-24.32217224251508,3
14708,2021-07-11 20:48:00,SELL,33868.67,33794.82251615353,73.8474838464681,15
14872,2021-07-11 23:32:00,SELL,34290.2,34315.597931282486,-25.39793128248857,3
14884,2021-07-11 23:44:00,SELL,34250.01,34170.75149913157,79.25850086843275,16
14889,2021-07-11 23:49:00,SELL,34239.99,34298.37586379925,-58.38586379925255,12
14894,2021-07-11 23:54:00,SELL,34230.01,34293.274162959446,-63.26416295944364,7
14926,2021-07-12 00:26:00,SELL,34182.41,34242.802068712874,-60.39206871287024,5
14954,2021-07-12 00:54:00,SELL,34189.82,34135.8609564115,53.95904358849657,6
14957,2021-07-12 00:57:00,SELL,34171.26,34093.412144329806,77.84785567019571,4
14975,2021-07-12 01:15:00,SELL,34150.31,34081.038035151505,69.27196484849264,22
15030,2021-07-12 02:10:00,SELL,34118.99,34157.364327410774,-38.37432741077646,2
15056,2021-07-12 02:36:00,BUY,34238.52,34327.642662389306,89.12266238930897,26
15148,2021-07-12 04:08:00,BUY,34498.25,34373.018764191445,-125.23123580855463,21
15219,2021-07-12 05:19:00,SELL,34242.47,34347.44908719867,-104.97908719866973,78
15228,2021-07-12 05:28:00,SELL,34240.01,34329.201734398026,-89.19173439802398,29
15232,2021-07-12 05:32:00,SELL,34261.66,34169.394251413934,92.2657485860691,14
15241,2021-07-12 05:41:00,SELL,34268.83,34203.75904819518,65.07095180482429,2
15251,2021-07-12 05:51:00,SELL,34233.73,34294.90658777124,-61.1765877712387,6
15280,2021-07-12 06:20:00,SELL,34231.8,34276.92911032688,-45.12911032687407,4
15385,2021-07-12 08:05:00,SELL,34274.46,34335.88770004217,-61.42770004217164,7
15453,2021-07-12 09:13:00,SELL,34251.11,34147.04033843765,104.06966156235285,7
15482,2021-07-12 09:42:00,SELL,34185.35,34078.26492655728,107.08507344271493,14
15522,2021-07-12 10:22:00,SELL,33835.88,33452.39240789132,383.48759210867865,127
15528,2021-07-12 10:28:00,SELL,33792.38,33383.00655019375,409.37344980624766,170
15533,2021-07-12 10:33:00,SELL,33836.88,33529.65134420135,307.22865579864447,84
15537,2021-07-12 10:37:00,SELL,33830.44,33535.684011125886,294.75598887411616,80
15554,2021-07-12 10:54:00,SELL,33752.58,33450.276222246015,302.30377775398665,95
15559,2021-07-12 10:59:00,SELL,33740.78,33448.106105199055,292.67389480094425,90
15563,2021-07-12 11:03:00,SELL,33694.72,33354.06953216273,340.650467837273,138
15583,2021-07-12 11:23:00,SELL,33702.56,33483.0216080916,219.5383919083979,37
15604,2021-07-12 11:44:00,SELL,33641.74,33415.72729791736,226.01270208264032,60
15610,2021-07-12 11:50:00,SELL,33615.64,33374.79152063014,240.84847936985898,90
15629,2021-07-12 12:09:00,SELL,33598.37,33422.43564497685,175.9343550231497,20
15635,2021-07-12 12:15:00,SELL,33550.02,33321.907886138884,228.11211386111245,166
15655,2021-07-12 12:35:00,SELL,33483.19,33236.14448609072,247.045513909281,203
15697,2021-07-12 13:17:00,SELL,33465.32,33581.78158550065,-116.46158550064865,37
15767,2021-07-12 14:27:00,SELL,33431.99,33507.227983027886,-75.23798302788782,9
15772,2021-07-12 14:32:00,SELL,33459.06,33501.77034908579,-42.71034908579168,4
15846,2021-07-12 15:46:00,SELL,33360.32,33224.42573783052,135.8942621694805,12
15916,2021-07-12 16:56:00,SELL,33192.2,33058.4887767667,133.71122323329473,37
15978,2021-07-12 17:58:00,SELL,33131.31,33182.08980853138,-50.77980853138433,4
15997,2021-07-12 18:17:00,SELL,33106.47,33167.87732035238,-61.40732035238034,8
16098,2021-07-12 19:58:00,SELL,32791.89,33015.71903710247,-223.82903710247047,133
16126,2021-07-12 20:26:00,SELL,32814.91,32919.28732377629,-104.37732377628708,3
16356,2021-07-13 00:16:00,SELL,32880.0,33045.013006431145,-165.0130064311452,13
16425,2021-07-13 01:25:00,SELL,32987.42,33028.89238319605,-41.47238319605094,5
16478,2021-07-13 02:18:00,BUY,33138.56,33082.830375469595,-55.72962453040236,38
16493,2021-07-13 02:33:00,BUY,33142.42,33097.8598624224,-44.560137577595015,22
16612,2021-07-13 04:32:00,SELL,33079.13,33120.38213074721,-41.252130747212505,3
16676,2021-07-13 05:36:00,SELL,32790.06,33002.93386143131,-212.87386143131152,60
16685,2021-07-13 05:45:00,SELL,32822.72,32968.727925231644,-146.00792523164273,46
