i,timestamp,Action,Start,End,Benef,Duration
4990,2021-07-05 02:50:00,SELL,34360.2,34002.23920057941,357.96079942058714,94
5000,2021-07-05 03:00:00,SELL,34346.54,34025.03048963569,321.5095103643107,77
5542,2021-07-05 12:02:00,SELL,33519.99,33930.67655616733,-410.68655616733304,356
5545,2021-07-05 12:05:00,SELL,33529.8,33905.745955126324,-375.94595512632077,353
5551,2021-07-05 12:11:00,SELL,33514.01,33860.74516878115,-346.73516878114606,347
5555,2021-07-05 12:15:00,SELL,33568.03,33167.46521127545,400.56478872455045,326
5562,2021-07-05 12:22:00,SELL,33513.01,33796.46687394727,-283.456873947267,336
5574,2021-07-05 12:34:00,SELL,33514.59,33736.27449158466,-221.68449158466683,70
5578,2021-07-05 12:38:00,SELL,33520.93,33719.940629781544,-199.01062978154368,65
5584,2021-07-05 12:44:00,SELL,33458.69,33697.33674061711,-238.64674061710684,59
5596,2021-07-05 12:56:00,SELL,33473.32,33655.69390507616,-182.37390507615783,14
6262,2021-07-06 00:02:00,SELL,33734.84,33956.01973108881,-221.17973108881415,4
6558,2021-07-06 04:58:00,BUY,34666.38,35112.69456138801,446.3145613880115,238
6848,2021-07-06 09:48:00,SELL,34255.0,33868.804879303956,386.1951206960439,19
6857,2021-07-06 09:57:00,SELL,34204.56,33811.08697636628,393.47302363372,10
6880,2021-07-06 10:20:00,SELL,33967.24,34298.680117490396,-331.4401174903978,146
6893,2021-07-06 10:33:00,SELL,33947.54,34218.47519500717,-270.9351950071723,71
6904,2021-07-06 10:44:00,SELL,33905.71,34155.14658588454,-249.43658588454127,60
6907,2021-07-06 10:47:00,SELL,33825.99,34139.01019371735,-313.02019371735514,57
6916,2021-07-06 10:56:00,SELL,33888.92,34094.27799130946,-205.35799130945816,47
6925,2021-07-06 11:05:00,SELL,33865.24,34057.761081970784,-192.52108197078633,38
6941,2021-07-06 11:21:00,SELL,33797.15,34010.17831123043,-213.02831123043143,22
8979,2021-07-07 21:19:00,SELL,34284.99,33881.56442258501,403.42557741498604,106
9007,2021-07-07 21:47:00,SELL,34228.01,33927.23760093252,300.77239906747855,77
