timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-05-15 22:02:00,48439.11000000,48523.38000000,48435.98000000,48506.05000000,19.26392400,1621116179999,933994.43163027,1124,10.27798000,498321.27462452,0
2021-05-15 22:03:00,48506.04000000,48506.04000000,48448.00000000,48454.97000000,21.73233400,1621116239999,1053560.51749089,871,13.30819600,645222.78174232,0
2021-05-15 22:04:00,48454.97000000,48456.95000000,48378.85000000,48380.19000000,34.39788000,1621116299999,1665379.96510706,1093,19.05799800,922645.65770469,0
2021-05-15 22:05:00,48378.86000000,48378.86000000,48310.89000000,48320.64000000,28.30563000,1621116359999,1368668.45239636,1188,12.20966700,590379.39458432,0
2021-05-15 22:06:00,48320.64000000,48484.49000000,48320.63000000,48437.13000000,42.51437300,1621116419999,2058342.69612029,1569,22.69850500,1098753.05972065,0
2021-05-15 22:07:00,48437.13000000,48490.00000000,48384.06000000,48429.64000000,101.02654900,1621116479999,4894266.84768269,1739,57.29722000,2775892.68339167,0
2021-05-15 22:08:00,48429.64000000,48451.99000000,48417.11000000,48417.13000000,62.36029400,1621116539999,3019664.65634687,1297,15.87221600,768622.05022198,0
2021-05-15 22:09:00,48417.12000000,48473.47000000,48417.11000000,48420.73000000,25.71614800,1621116599999,1245469.53985127,936,10.49282200,508185.09041281,0
2021-05-15 22:10:00,48420.72000000,48497.50000000,48417.11000000,48474.09000000,109.40699300,1621116659999,5300144.67290650,1841,55.64263900,2696014.74291321,0
2021-05-15 22:11:00,48474.55000000,48528.73000000,48471.14000000,48517.69000000,28.76286800,1621116719999,1394841.91820343,925,17.32121300,839996.75898500,0
2021-05-15 22:12:00,48511.14000000,48520.53000000,48480.13000000,48492.47000000,23.28689600,1621116779999,1129453.57557294,878,8.54894700,414646.74911270,0
2021-05-15 22:13:00,48492.47000000,48509.39000000,48468.16000000,48477.46000000,41.76533300,1621116839999,2024946.60550398,974,10.62277300,515078.17841353,0
2021-05-15 22:14:00,48477.46000000,48580.12000000,48475.02000000,48554.18000000,67.05859400,1621116899999,3254360.58562884,1271,33.05401500,1603993.34032794,0
2021-05-15 22:15:00,48554.18000000,48680.00000000,48551.16000000,48671.30000000,86.96903000,1621116959999,4228615.03046897,1867,50.94237800,2477134.47469210,0
2021-05-15 22:16:00,48671.30000000,48688.83000000,48608.82000000,48609.33000000,37.13796100,1621117019999,1806911.30746310,1146,12.91423300,628375.26054761,0
2021-05-15 22:17:00,48609.33000000,48652.27000000,48588.53000000,48598.24000000,27.15391900,1621117079999,1320305.76509441,968,10.14925000,493510.16668035,0
