timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-07-07 17:04:00,34538.75000000,34545.62000000,34515.06000000,34545.61000000,14.18670900,1625677499999,489881.35945756,479,7.06274800,243883.77465088,0
2021-07-07 17:05:00,34545.61000000,34563.16000000,34542.14000000,34557.99000000,8.37412500,1625677559999,289357.18942492,368,4.07316700,140741.07770445,0
2021-07-07 17:06:00,34557.99000000,34574.10000000,34555.06000000,34568.14000000,21.19702400,1625677619999,732627.83656361,395,11.37477700,393147.28330127,0
2021-07-07 17:07:00,34568.15000000,34578.00000000,34568.15000000,34578.00000000,6.92626500,1625677679999,239479.04185634,306,4.96020900,171500.18417798,0
2021-07-07 17:08:00,34578.00000000,34580.00000000,34562.91000000,34566.72000000,9.81733300,1625677739999,339401.85925519,340,2.40659700,83196.41841486,0
2021-07-07 17:09:00,34566.72000000,34593.12000000,34566.72000000,34593.11000000,5.30712700,1625677799999,183518.33870186,307,3.83415700,132583.22637954,0
2021-07-07 17:10:00,34593.11000000,34593.12000000,34555.79000000,34555.80000000,20.15971200,1625677859999,696942.27073458,523,3.29621100,113962.17361627,0
2021-07-07 17:11:00,34555.79000000,34564.32000000,34542.90000000,34562.27000000,37.41006800,1625677919999,1292529.78418619,552,16.18351400,559130.24234908,0
2021-07-07 17:12:00,34562.27000000,34562.27000000,34542.67000000,34550.00000000,15.03872500,1625677979999,519561.91412539,450,3.31957700,114685.71595105,0
2021-07-07 17:13:00,34549.99000000,34582.43000000,34549.99000000,34577.81000000,10.24691400,1625678039999,354234.58514829,448,5.34998100,184953.98298093,0
2021-07-07 17:14:00,34577.80000000,34590.52000000,34573.18000000,34590.52000000,12.47471500,1625678099999,431386.72046813,343,6.16584500,213222.73460795,0
2021-07-07 17:15:00,34590.52000000,34591.84000000,34558.70000000,34572.05000000,21.35616600,1625678159999,738481.92686437,511,4.64757600,160713.96955444,0
2021-07-07 17:16:00,34572.04000000,34578.55000000,34555.20000000,34555.96000000,12.47918000,1625678219999,431370.46698831,458,3.16400900,109358.90817379,0
2021-07-07 17:17:00,34555.95000000,34578.54000000,34555.95000000,34576.86000000,11.12730300,1625678279999,384692.59014433,398,6.85428300,236956.16392958,0
2021-07-07 17:18:00,34576.87000000,34576.87000000,34539.96000000,34540.98000000,39.64646300,1625678339999,1370083.12921074,572,6.19292900,213972.63608121,0
2021-07-07 17:19:00,34542.67000000,34542.68000000,34525.00000000,34525.77000000,14.81757600,1625678399999,511773.89553503,424,3.26954100,112905.27779939,0
2021-07-07 17:20:00,34525.78000000,34525.78000000,34500.79000000,34508.75000000,36.98871600,1625678459999,1276637.25665261,603,12.26007100,423153.85440722,0
2021-07-07 17:21:00,34508.75000000,34534.49000000,34508.71000000,34534.45000000,10.54244400,1625678519999,363890.24890708,324,4.76544900,164489.32878184,0
2021-07-07 17:22:00,34534.44000000,34534.45000000,34500.66000000,34504.97000000,18.37518900,1625678579999,634238.06531187,423,5.04239200,174004.78210518,0
